Variable,VarName,Coefficient,SE,CI_lower,CI_upper
Economic Complexity Index_lag1,ECI (t-1),0.9676431740137338,0.004594793510454692,0.9586373787332426,0.976648969294225
Oil rents (% of GDP)_lag1,Oil Rents (t-1),-0.0009907389539395267,0.0003849452215651915,-0.0017452315882073022,-0.00023624631967175127
Natural gas rents (% of GDP)_lag1,Gas Rents (t-1),-0.00010649190605162874,0.0026296776827663478,-0.0052606601642736705,0.005047676352170413
Mineral rents (% of GDP)_lag1,Mineral Rents (t-1),-0.0028769745137621856,0.0018421557218481779,-0.006487599728584615,0.000733650701060243
