Country Name,Country Code,N_Categories,Shannon_Entropy,Diversity_Normalized,Total_Resource_Value,GDP,Resource_Intensity_Pct,Fossil fuels,Base metals,Precious metals,Battery/strategic,Industrial minerals
Dominican Republic,DOM,1,0.0,0.0,909508600.0,207962029941.274,0.4373435863541217,0.0,0.0,1.0,0.0,0.0
Ecuador,ECU,1,0.0,0.0,5469952076.043534,198522709865.13602,2.7553281333704738,1.0,0.0,0.0,0.0,0.0
"Egypt, Arab Rep.",EGY,1,0.0,0.0,10853885111.533533,1364086700470.306,0.7956888009971331,1.0,0.0,0.0,0.0,0.0
Finland,FIN,1,0.0,0.0,122619000.0,268486689262.076,0.04567042051023572,0.0,1.0,0.0,0.0,0.0
France,FRA,1,0.0,0.0,562800000.0,3218629676444.643,0.017485702195528103,0.0,1.0,0.0,0.0,0.0
Gabon,GAB,1,0.0,0.0,2080050805.0,35386157490.81,5.878148271793008,0.0,0.0,0.0,0.0,1.0
Germany,DEU,3,0.38839682635901485,0.24132451668893942,5455237219.6347475,4502819160701.719,0.1211515946997215,0.8695094944839701,0.13035319480526858,0.0,0.0,0.00013731071076138337
Ghana,GHA,2,0.5485509025067374,0.3408338391116397,5401177525.0,174608871991.32495,3.093300737472461,0.0,0.0,0.762182687190975,0.0,0.2378173128090249
Greece,GRC,1,0.0,0.0,159432548.2962963,317991883009.19,0.05013730123787112,0.0,0.0,0.0,0.0,1.0
Guinea,GIN,2,0.6553669539133673,0.4072023834222942,2168187200.0,31350469686.12,6.915964008539036,0.0,0.0,0.36343134947019334,0.0,0.6365686505298066
India,IND,5,0.5576887385194257,0.3465114958525998,45719262356.48815,9191394148444.56,0.49741379401323055,0.8248405079448194,0.145237461362009,0.0043448828734615344,0.00021386171814761205,0.02536328610156238
Indonesia,IDN,4,0.7698013599128259,0.4783044775853359,48243270902.51747,3263455447077.45,1.4782880197038133,0.7275616504308346,0.1974680722157021,0.06771123389623938,0.0,0.007259043457223909
"Iran, Islamic Rep.",IRN,2,0.1430890863550001,0.08890624810657863,52266477100.695076,1277561716141.44,4.091111720109544,0.967570322431824,0.03242967756817608,0.0,0.0,0.0
Iraq,IRQ,1,0.0,0.0,49233950723.27585,471030662929.476,10.45238762527171,1.0,0.0,0.0,0.0,0.0
Ireland,IRL,1,0.0,0.0,214375000.0,433354536019.024,0.04946873337691083,0.0,1.0,0.0,0.0,0.0
Jamaica,JAM,1,0.0,0.0,185859091.6,29770263386.600006,0.6243112101038973,0.0,0.0,0.0,0.0,1.0
Japan,JPN,1,0.0,0.0,3129416.666666667,5278126503234.0,5.929029296189129e-05,0.0,0.0,0.0,0.0,1.0
Kazakhstan,KAZ,4,0.6428103450555294,0.39940052367931883,32204018162.98325,506205871210.125,6.361842087290889,0.8037985368464753,0.08850938990204427,0.10498011617339176,0.0,0.0027119570780887157
"Korea, Rep.",KOR,1,0.0,0.0,4993750.0,2215749619729.876,0.00022537519381855034,0.0,0.0,0.0,0.0,1.0
Kuwait,KWT,1,0.0,0.0,30657891775.000557,199231906569.612,15.388043161795789,1.0,0.0,0.0,0.0,0.0
Kyrgyz Republic,KGZ,1,0.0,0.0,749320000.0,34918641576.582,2.1459024926746504,0.0,0.0,1.0,0.0,0.0
Lao PDR,LAO,1,0.0,0.0,553874550.0,56311297826.784004,0.9835940057779207,0.0,1.0,0.0,0.0,0.0
Libya,LBY,1,0.0,0.0,12316530940.535276,156433741425.531,7.87332120826277,1.0,0.0,0.0,0.0,0.0
Madagascar,MDG,2,0.6181470417051748,0.38407635170610244,123465300.0,46441766604.41999,0.2658497060450958,0.0,0.0,0.0,0.6911877264300171,0.3088122735699828
Malaysia,MYS,2,0.29418381881845695,0.18278668381406266,12959453782.958185,933445681594.6079,1.3883457857793624,0.9135766044805984,0.08642339551940156,0.0,0.0,0.0
Mali,MLI,1,0.0,0.0,1801800000.0,46754772623.54497,3.8537242272730934,0.0,0.0,1.0,0.0,0.0
Mexico,MEX,4,0.8489786382318789,0.5275000866283128,32833270958.39509,2554534664700.708,1.2852936157843005,0.6764221101223077,0.13257425754247087,0.1909540496268138,0.0,4.958270840766624e-05
Mongolia,MNG,2,0.6894378730256641,0.42837183571931897,3800557321.876919,39913093156.363014,9.522081656232215,0.5430390458780605,0.4569609541219395,0.0,0.0,0.0
Morocco,MAR,3,1.0833523755965841,0.6731246773963037,174209700.0,308121283110.248,0.05653932706026883,0.0,0.26307605144834073,0.40532530622577273,0.33159864232588654,0.0
Mozambique,MOZ,2,0.3681124242966233,0.2287211090609225,905844800.0,38555811007.08003,2.3494378054546927,0.0,0.8794031825319304,0.0,0.0,0.12059681746806959
Myanmar,MMR,1,0.0,0.0,1433024342.0,255231602782.56705,0.5614603859306561,0.0,1.0,0.0,0.0,0.0
Netherlands,NLD,2,0.006723627426995842,0.004177624607355672,1763097970.6703067,993138640714.538,0.17752787963237465,0.9991691707677615,0.0,0.0,0.0,0.0008308292322385368
New Zealand,NZL,1,0.0,0.0,494610200.0,209618222477.7,0.23595763486288437,0.0,1.0,0.0,0.0,0.0
Nigeria,NGA,2,0.010140740275042172,0.006300796195179348,24726737456.55355,1075811205013.4489,2.298427209283848,0.9986694564918721,0.0013305435081278874,0.0,0.0,0.0
North Macedonia,MKD,1,0.0,0.0,60887400.0,34565624321.2,0.1761501526320072,0.0,1.0,0.0,0.0,0.0
Norway,NOR,3,0.25065503633672376,0.1557407305993154,27065190255.147198,340933840897.60803,7.938546136661051,0.9318516243209279,0.06786577085489659,0.0,0.0,0.00028260482417553706
Oman,OMN,2,0.17582132052094726,0.10924392868006731,12878847844.087345,154737530255.08798,8.32302791886125,0.9574961979031913,0.04250380209680871,0.0,0.0,0.0
Pakistan,PAK,1,0.0,0.0,2075868897.1064231,1249235023135.491,0.1661712054707,1.0,0.0,0.0,0.0,0.0
