,PC1,PC2
Metals_GDP_Norm,-0.11690800977613929,0.8252241635714719
Oil_GDP_Norm,0.6847695823910148,-0.01796621867073209
Natural Gas_GDP_Norm,0.6724240566369818,-0.051806165976851136
Coal_GDP_Norm,-0.25547803102827177,-0.5621373640056483
