Cluster,Name,Rides,Percentage,Peak_Hour,Weekend_Pct
0,Upper East Side,357299,34.75211450625209,18,22.98299183596931
1,Midtown / Chelsea,431252,41.94503450905327,18,27.580857596022746
2,JFK Airport Area,33489,3.257253904152758,14,28.645226790886557
3,Newark / New Jersey,10327,1.0044391014418326,15,25.4575384913334
4,Brooklyn / Lower Manhattan,142005,13.811888699549476,21,35.02623147072286
5,LaGuardia / East Queens,53764,5.229269279550565,20,28.9543188750837
