Cluster,Name,Rides,Percentage,Peak_Hour,Avg_Hour,Weekend_Pct,Zone_Type
0,Upper East Side,357299,34.75211450625209,18,14.091617944634606,22.98299183596931,HOT
1,Midtown / Chelsea,431252,41.94503450905327,18,14.236791945312717,27.580857596022746,HOT
2,JFK Airport Area,33489,3.257253904152758,14,14.646869121203977,28.645226790886557,COLD
3,Newark / New Jersey,10327,1.0044391014418326,15,14.594848455504987,25.4575384913334,COLD
4,Brooklyn / Lower Manhattan,142005,13.811888699549476,21,13.405415302278088,35.02623147072286,WARM
5,LaGuardia / East Queens,53764,5.229269279550565,20,14.311044565136523,28.9543188750837,WARM
