zone_id,zone_name,borough,count_2018,share_2018,count_2025,share_2025,share_change
132.0,JFK Airport,Queens,74263.0,1.6462351263477646,294660,1.913211267259953,0.26697614091218846
138.0,LaGuardia Airport,Queens,50006.0,1.1085147883622573,270895,1.7589064217891297,0.6503916334268725
61.0,Crown Heights North,Brooklyn,65833.0,1.4593619578101125,197261,1.2808048862789845,-0.178557071531128
230.0,Times Sq/Theatre District,Manhattan,56973.0,1.2629567059425446,188888,1.2264394551354034,-0.03651725080714119
161.0,Midtown Center,Manhattan,88343.0,1.9583554363133804,186941,1.2137976906021954,-0.7445577457111849
79.0,East Village,Manhattan,81971.0,1.8171032619454182,183450,1.1911308184987388,-0.6259724434466793
231.0,TriBeCa/Civic Center,Manhattan,69889.0,1.5492738880104349,169545,1.1008464138586465,-0.4484274741517884
76.0,East New York,Brooklyn,39832.0,0.8829812632493187,166883,1.0835621934234125,0.20058093017409384
234.0,Union Sq,Manhattan,79277.0,1.7573836515017132,164366,1.067219450059219,-0.6901642014424942
37.0,Bushwick South,Brooklyn,41165.0,0.9125307215720577,163748,1.0632068098529925,0.15067608828093482
68.0,East Chelsea,Manhattan,54773.0,1.2141879075104172,157000,1.019392414850379,-0.19479549266003815
246.0,West Chelsea/Hudson Yards,Manhattan,61080.0,1.3539991855610662,154156,1.0009264783673568,-0.3530727071937094
164.0,Midtown South,Manhattan,56985.0,1.2632227175703563,148319,0.9630271565490022,-0.30019556102135414
7.0,Astoria,Queens,38138.0,0.8454292884565806,143106,0.9291794326087791,0.0837501441521985
255.0,Williamsburg (North Side),Brooklyn,46356.0,1.0276029182362276,142059,0.9223813188613375,-0.10522159937489017
148.0,Lower East Side,Manhattan,57271.0,1.2695626613665327,140206,0.9103498911879759,-0.3592127701785568
181.0,Park Slope,Brooklyn,45989.0,1.0194673959523228,138980,0.9023895402286983,-0.1170778557236245
48.0,Clinton East,Manhattan,73614.0,1.6318483308102867,137403,0.892150165462972,-0.7396981653473147
112.0,Greenpoint,Brooklyn,30544.0,0.677088263323137,136392,0.885585797746961,0.20849753442382402
42.0,Central Harlem North,Manhattan,36079.0,0.7997861266512394,135497,0.879774611687782,0.07998848503654266
249.0,West Village,Manhattan,57468.0,1.2739296855897733,135158,0.8775735032251434,-0.3963561823646299
170.0,Murray Hill,Manhattan,54182.0,1.2010868348406956,133438,0.8664056372790118,-0.3346811975616838
237.0,Upper East Side South,Manhattan,50227.0,1.113413835841121,132792,0.8622111946038951,-0.2512026412372259
17.0,Bedford,Brooklyn,33523.0,0.7431256499273677,127157,0.8256234477396792,0.08249779781231148
89.0,Flatbush/Ditmas Park,Brooklyn,36942.0,0.818916796218024,126348,0.8203706549778068,0.0014538587597827668
163.0,Midtown North,Manhattan,44054.0,0.9765730209677016,124518,0.8084885650467482,-0.16808445592095345
256.0,Williamsburg (South Side),Brooklyn,34070.0,0.7552513466284467,123277,0.8004308199077079,0.045179473279261195
162.0,Midtown East,Manhattan,49786.0,1.1036379085190446,121781,0.7907173737127006,-0.3129205348063441
244.0,Washington Heights South,Manhattan,31538.0,0.6991228931601982,121258,0.7873215633116385,0.08819867015144034
188.0,Prospect-Lefferts Gardens,Brooklyn,34940.0,0.774537189644788,121201,0.78695146542854,0.012414275783751982
129.0,Jackson Heights,Queens,27118.0,0.6011419435829239,121173,0.7867696629596493,0.1856277193767254
225.0,Stuyvesant Heights,Brooklyn,36747.0,0.8145941072660855,120838,0.7845945262782807,-0.029999580987804753
36.0,Bushwick North,Brooklyn,31790.0,0.7047091373442419,120482,0.7822830377452442,0.07757390040100232
236.0,Upper East Side North,Manhattan,40572.0,0.8993853136310342,118277,0.7679660933201162,-0.13141922031091802
145.0,Long Island City/Hunters Point,Queens,23159.0,0.5133802740407455,118253,0.7678102626324959,0.25442998859175037
130.0,Jamaica,Queens,20145.0,0.4465670201887308,117801,0.7648754513489776,0.3183084311602468
39.0,Canarsie,Brooklyn,32758.0,0.726167408654378,116489,0.7563567070923936,0.030189298438015544
82.0,Elmhurst,Queens,26318.0,0.5834078350621502,115076,0.7471821753587401,0.16377434029658988
107.0,Gramercy,Manhattan,53054.0,1.176081741826405,113586,0.7375076868356377,-0.4385740549907672
80.0,East Williamsburg,Brooklyn,32896.0,0.7292265423742115,107967,0.7010238270965022,-0.028202715277709234
74.0,East Harlem North,Manhattan,25794.0,0.5717919939810435,107003,0.6947646278104146,0.12297263382937107
216.0,South Ozone Park,Queens,16802.0,0.37246061420754806,103300,0.6707212512996442,0.29826063709209616
168.0,Mott Haven/Port Morris,Bronx,16731.0,0.3708867120763294,102537,0.6657671340223776,0.29488042194604824
95.0,Forest Hills,Queens,22124.0,0.4904367711419945,102256,0.663942616388155,0.17350584524616047
142.0,Lincoln Square East,Manhattan,37865.0,0.8393775239238667,101907,0.6616765784723412,-0.17770094545152548
144.0,Little Italy/NoLiTa,Manhattan,48198.0,1.0684357031053089,101732,0.6605403130417754,-0.4078953900635335
90.0,Flatiron,Manhattan,44131.0,0.978279928912826,101616,0.6597871313849433,-0.31849279752788273
75.0,East Harlem South,Manhattan,24347.0,0.5397154251940942,100685,0.6537421992943336,0.11402677410023943
141.0,Lenox Hill West,Manhattan,34707.0,0.7693721305381127,99091,0.6433924444582095,-0.12597968607990317
41.0,Central Harlem,Manhattan,27400.0,0.6073932168364966,98480,0.6394252548692058,0.032032038032709154
