zone_id,zone_name,borough,count_2018,count_2025,share_2018,share_2025,share_change
132.0,JFK Airport,Queens,74322.0,295048,1.6443615205863789,1.9100424439490507,0.2656809233626718
138.0,LaGuardia Airport,Queens,50069.0,271239,1.1077680494905868,1.7559109109510878,0.6481428614605009
61.0,Crown Heights North,Brooklyn,65858.0,197389,1.4570969702480792,1.2778306172848457,-0.17926635296323346
230.0,Times Sq/Theatre District,Manhattan,57003.0,188972,1.261181611877847,1.2233417637738266,-0.0378398481040203
161.0,Midtown Center,Manhattan,88371.0,187030,1.9551932393603357,1.2107699028354402,-0.7444233365248956
79.0,East Village,Manhattan,82000.0,183537,1.814235955545909,1.1881573846800415,-0.6260785708658676
231.0,TriBeCa/Civic Center,Manhattan,69912.0,169607,1.5467910259039708,1.0979792060643239,-0.4488118198396469
76.0,East New York,Brooklyn,39866.0,167049,0.8820284219974782,1.0814195663730815,0.19939114437560324
234.0,Union Sq,Manhattan,79297.0,164437,1.7544325434990726,1.0645103486742837,-0.6899221948247889
37.0,Bushwick South,Brooklyn,41215.0,163964,0.911874815949081,1.0614483042747693,0.1495734883256883
68.0,East Chelsea,Manhattan,54790.0,157054,1.2122193659068337,1.0167152666412727,-0.195504099265561
246.0,West Chelsea/Hudson Yards,Manhattan,61094.0,154183,1.351694286196607,0.9981293692395694,-0.3535649169570376
164.0,Midtown South,Manhattan,57023.0,148424,1.2616241084523705,0.9608475221004511,-0.3007765863519194
7.0,Astoria,Queens,38386.0,144096,0.8492836754827472,0.9328294921615548,0.08354581667880756
255.0,Williamsburg (North Side),Brooklyn,46375.0,142185,1.0260389321761163,0.9204583148941724,-0.1055806172819439
148.0,Lower East Side,Manhattan,57306.0,140283,1.2678854349818764,0.9081454006280493,-0.3597400343538272
181.0,Park Slope,Brooklyn,46004.0,139039,1.0178306207187073,0.9000921591206585,-0.1177384615980488
48.0,Clinton East,Manhattan,73653.0,137483,1.6295600101685712,0.8900191335696135,-0.7395408765989577
112.0,Greenpoint,Brooklyn,30569.0,136555,0.6763338893302793,0.8840115707731034,0.20767768144282417
42.0,Central Harlem North,Manhattan,36092.0,135578,0.798529318384914,0.8776867983030706,0.07915747991815658
249.0,West Village,Manhattan,57488.0,135181,1.2719121538100393,0.8751167525808567,-0.39679540122918255
170.0,Murray Hill,Manhattan,54206.0,133551,1.1992984659307506,0.8645646756861245,-0.33473379024462613
237.0,Upper East Side South,Manhattan,50243.0,132865,1.1116177696889404,0.8601237402568078,-0.2514940294321326
17.0,Bedford,Brooklyn,33539.0,127252,0.742044630647003,0.8237870484714508,0.0817424178244478
89.0,Flatbush/Ditmas Park,Brooklyn,36949.0,126406,0.8174902966032415,0.8183103263530805,0.0008200297498390796
163.0,Midtown North,Manhattan,44072.0,124582,0.9750854516197477,0.806502358097871,-0.16858309352187673
129.0,Jackson Heights,Queens,27934.0,124309,0.6180349656368223,0.8047350470596735,0.18670008142285122
256.0,Williamsburg (South Side),Brooklyn,34091.0,123389,0.7542575361038486,0.798779273597616,0.04452173749376742
162.0,Midtown East,Manhattan,49803.0,121862,1.1018828450494258,0.788893984383962,-0.31298886066546383
244.0,Washington Heights South,Manhattan,31553.0,121327,0.6981047207968302,0.7854305726424394,0.08732585184560926
188.0,Prospect-Lefferts Gardens,Brooklyn,34948.0,121263,0.773218514322176,0.7850162579668181,0.011797743644642034
225.0,Stuyvesant Heights,Brooklyn,36775.0,120967,0.813640576404888,0.7831000525920692,-0.0305405238128188
82.0,Elmhurst,Queens,27457.0,120897,0.6074814223344394,0.7826468959156082,0.17516547358116885
36.0,Bushwick North,Brooklyn,31834.0,120755,0.7043217976688838,0.7817276352290733,0.07740583756018948
145.0,Long Island City/Hunters Point,Queens,23227.0,118633,0.5138933968227418,0.7679905142655017,0.25409711744275987
130.0,Jamaica,Queens,20269.0,118489,0.4484481534507321,0.7670583062453535,0.31861015279462146
236.0,Upper East Side North,Manhattan,40582.0,118345,0.8978697993654157,0.7661260982252054,-0.13174370114021028
39.0,Canarsie,Brooklyn,32763.0,116541,0.7248757635554953,0.7544476033061275,0.029571839750632156
107.0,Gramercy,Manhattan,53069.0,113660,1.1741425356690958,0.7357969692363585,-0.43834556643273725
80.0,East Williamsburg,Brooklyn,32919.0,108102,0.7283272368367778,0.6998163291253636,-0.02851090771141418
74.0,East Harlem North,Manhattan,25810.0,107107,0.571041829422438,0.6933750306528124,0.12233320123037439
95.0,Forest Hills,Queens,22552.0,104923,0.49895913743257736,0.6792365423472325,0.18027740491465516
216.0,South Ozone Park,Queens,16850.0,103580,0.37280336403595815,0.67054240782599,0.2977390437900318
168.0,Mott Haven/Port Morris,Bronx,16742.0,102645,0.37041388253353186,0.6644895293618337,0.29407564682830184
56.0,Corona,Queens,17980.0,102618,0.3978044204965298,0.6643147403580559,0.2665103198615261
142.0,Lincoln Square East,Manhattan,37873.0,101982,0.8379336383462221,0.6601974882690684,-0.1777361500771537
144.0,Little Italy/NoLiTa,Manhattan,48218.0,101804,1.0668149915184468,0.6590451755774964,-0.4077698159409504
90.0,Flatiron,Manhattan,44141.0,101654,0.9766120648018534,0.6580741255565088,-0.31853793924534457
75.0,East Harlem South,Manhattan,24360.0,100786,0.5389608277694921,0.6524549827683936,0.11349415499890159
141.0,Lenox Hill West,Manhattan,34727.0,99141,0.7683289271736925,0.6418058008715627,-0.1265231263021298
