spec,coef,se,p,pct,ci_lo,ci_hi,pct_lo,pct_hi,r2,n,controls
(1) Raw gap,-0.0974971049686505,0.04112710483342949,0.017757848740133947,-9.289503235068096,-0.17810623044217228,-0.0168879794951287,-16.314648055271043,-1.674617694441094,0.002938252362367555,1919,None
(2) + Store FE,-0.10363441014680018,0.04115638159297732,0.011800181797309359,-9.844516352021337,-0.18430091806903573,-0.02296790222456463,-16.831450302616126,-2.270614777155122,0.006297894375825175,1919,Store
(3) + Broad cat FE,0.08032944212217141,0.08514075682375354,0.3454303911262817,8.364400685762696,-0.0865464412523855,0.24720532549672833,-8.290704314976816,28.04419931776032,0.6718509435496812,1374,Store + Broad cat
(4) + Mid cat FE,0.08032944212217141,0.08514075682375354,0.3454303911262817,8.364400685762696,-0.0865464412523855,0.24720532549672833,-8.290704314976816,28.04419931776032,0.6718509435496812,1374,Store + Mid cat
(5) + Fine cat FE,0.08032944212217141,0.08514075682375354,0.3454303911262817,8.364400685762696,-0.0865464412523855,0.24720532549672833,-8.290704314976816,28.04419931776032,0.6718509435496812,1374,Store + Fine cat
(6) + Description,0.036671027005202916,0.06748316008664927,0.5868475116334744,3.7351704002500874,-0.09559596676462964,0.16893802077503547,-9.11688601155467,18.404675034980087,0.7381361017512973,1374,Store + Mid cat + Description
(8) Unit price,0.006650856667920257,0.06772485655921527,0.9217702493635274,0.6673022728979294,-0.12608986218814167,0.13939157552398218,-11.84643734963069,14.957415698508303,0.853975748242827,743,Store + Mid cat (unit price)
