store,store_id,n_female,n_male,mean_f,mean_m,coef,pct_gap,p_value,significant
Store 4,4,449,404,7.014409799554565,7.493143564356434,0.008199172668319373,0.8232877940013594,0.8937524139688486,False
Store 3,3,29,34,5.4127586206896545,5.314411764705882,-0.05277038247244714,-5.140219784084843,0.803593289923907,False
Store 1,1,597,406,7.120586264656616,9.048177339901478,-0.20534136871082945,-18.56307312316866,0.00033754344195920355,True
