,PC1,PC2
Metals_GDP_Norm,-0.16566606498897102,-0.11640434186666677
Oil_GDP_Norm,-0.1200219679436441,0.6825607999459891
Natural Gas_GDP_Norm,0.06954211693851335,0.6781874052364564
Coal_GDP_Norm,0.04773856469346576,-0.22968439725771453
Economic Complexity Index,0.6931182634753208,-0.04014061048185348
Human capital index,0.6860185699904036,0.07909763584853233
