Country Code,Country Name,Metals_GDP_Norm,Oil_GDP_Norm,Natural Gas_GDP_Norm,Coal_GDP_Norm,Economic Complexity Index,Human capital index,Cluster,PC1,PC2
RUS,Russian Federation,0.00029691132814727554,0.10720377664759412,0.5935551058568161,0.011081847367114882,0.257,3.310307503,1,0.9253352869571012,1.2066061380925626
RWA,Rwanda,3.9268232331391125e-08,0.0,0.0,0.0,-0.746,1.788336515,0,-1.323333706394484,-0.5411743227473863
SAU,Saudi Arabia,0.0003535863966523204,0.25458855762763405,0.22774462607405935,0.0,0.7,2.839891434,2,0.44913642043605967,1.8808387203105925
SEN,Senegal,3.086363297171308e-08,0.0,0.0,0.0,-0.781,1.617536068,0,-1.5236887965511732,-0.5600590014303298
SRB,Serbia,4.4170654610233416e-05,0.0,0.0,0.030560474603914745,0.573,3.366787434,3,1.3202451408046676,-0.888253297668311
SVK,Slovak Republic,9.739772468253828e-05,0.0,0.0,0.0007940199390725668,1.348,3.782398939,3,2.1896369614859967,-0.40167005244377635
SVN,Slovenia,8.299929185197691e-05,0.0,0.0,0.00391399148321428,1.703,3.567204952,3,2.2250942143909316,-0.49058071439017376
ZAF,South Africa,0.0008534646701915572,0.0,0.0,0.031189816470429187,0.154,2.768338919,1,0.407239401305519,-0.9572818585879915
ESP,Spain,2.5610540213305042e-05,0.0,0.0,6.537109510205717e-06,0.633,2.985405207,1,0.8691058619696685,-0.45473707482339903
LKA,Sri Lanka,1.3451185760168959e-06,0.0,0.0,0.0,-0.643,2.90680933,1,-0.09909766643345297,-0.4124345161731735
SDN,Sudan,2.9795343138124233e-08,0.013673333968492433,0.0,0.0,-1.328,1.611784101,0,-1.9288732738202556,-0.4315395407366926
SWE,Sweden,9.765630868403415e-05,0.0,0.0,0.0,1.815,3.43598628,3,2.1548241872686886,-0.44913733835565123
TJK,Tajikistan,0.0006835023669106862,0.0,0.0,0.005922772579504804,-0.712,3.151337147,1,0.1184314921986085,-0.4779863492811366
TZA,Tanzania,6.237737180783438e-06,0.0,0.0,0.0004415177996429181,-0.924,1.7155940530000002,0,-1.5206952233091584,-0.5496385071697215
THA,Thailand,1.441255567194514e-07,0.013140593791622211,0.0943195030858614,0.0010678918647905006,1.043,2.76140666,1,0.9243576526385476,-0.26152128151419823
TGO,Togo,4.710366359390015e-08,0.0,0.0,0.0,-0.893,2.107893944,0,-1.096252697705572,-0.49728427017070115
TTO,Trinidad and Tobago,0.0,0.07857812871309297,3.145373991653976,0.0,0.055,3.08532095,4,0.9746149586197094,5.195687575018046
TUN,Tunisia,0.0,0.010803826026579002,0.0,0.0,0.136,2.6992414,1,0.21387568479909724,-0.38378345592520263
TUR,Turkiye,0.00011196896243390371,0.0,0.0,0.003699760222780542,0.531,2.514292002,1,0.32402085350869037,-0.5652852972219069
UGA,Uganda,1.543447303743746e-10,0.0,0.0,0.0,-0.754,2.43697238,0,-0.6604605718766139,-0.4637814606604859
UKR,Ukraine,2.5858640054001766e-07,0.0,0.11625472423457175,0.004494231641385506,0.3249999999999999,3.28966856,1,1.0023107457446947,-0.2919248731627149
ARE,United Arab Emirates,0.00039561757706473976,0.22125434466960325,0.2841147017994917,0.0,0.3329999999999999,3.238971949,2,0.6599373358678418,1.7711018877487474
GBR,United Kingdom,1.2600588399884077e-06,0.013001765432893895,0.04351079322744553,8.256167427137777e-05,1.709,3.773596048,3,2.419292269320095,-0.234409210586884
USA,United States,0.0002545167054545923,0.030077500659352704,0.15511145251130598,0.006161093176645668,1.597,3.749341488,3,2.328778652998438,-0.018815373237316396
URY,Uruguay,0.0,0.0,0.0,0.0,-0.042,2.776405811,1,0.18449569284125225,-0.4521265421223979
UZB,Uzbekistan,7.859027348638194e-05,0.009241350328822517,0.810390002893052,0.0016425249424226666,-0.69,2.3660742519214746,2,-0.5649776291239168,0.8593091578654092
VEN,"Venezuela, RB",2.6571472572310064e-05,0.1702163420520534,0.393638334436578,0.0001744452143906559,-1.277,2.893461704,2,-0.7238615355288359,1.5684081128578622
VNM,Viet Nam,0.0004097986169310263,0.008726908468776929,0.03459613409405497,0.004690658697106399,-0.057,2.601555586,1,-0.000682664446238358,-0.42524930910430636
YEM,"Yemen, Rep.",0.0,0.04926177939314352,0.0,0.0,-1.518,1.842988729,0,-1.871795857358333,-0.11747189627772699
ZMB,Zambia,0.0012622281819318153,0.0,0.0,0.0005366214984711132,-0.49,2.686845064,1,-0.22845151539941622,-0.460796217471929
ZWE,Zimbabwe,0.00010045838227279516,0.0,0.0,0.007576752498048657,-0.921,2.713407516,1,-0.46779215475575747,-0.5441281402901577
