Feature,Coefficient
Human capital index,0.597881161857065
Rule of law index,0.3128493222553898
Metals_GDP_Pct,-0.2183018704758579
Oil_GDP_Pct,-0.13943705987747457
Coal_GDP_Pct,-0.056939930151446376
Natural Gas_GDP_Pct,-0.041428819106461075
Property rights,-0.016961709802260416
Landlocked,-6.771437202103406e-06
