Model,Train R²,Test R²,CV R²,Test RMSE,Overfit
XGBoost,0.9673107097747817,0.8156331269550499,0.9263695346317224,0.4418022114630922,0.15167758281973187
LightGBM,0.9646760805114096,0.8113758003343702,0.925220192747692,0.44687405990230905,0.15330028017703945
Gradient Boosting,0.9671845712920837,0.8022946999425359,0.9242648676809658,0.45750473843142375,0.1648898713495478
Random Forest,0.9595573222380087,0.7923941137126643,0.9217409959570115,0.4688201526741241,0.1671632085253444
Ridge,0.7245931447305716,0.6459883213124773,0.7208846600439998,0.6122026923343646,0.07860482341809427
ElasticNet,0.7103546551734011,0.6453361073300647,0.7087777606243204,0.612766379131187,0.06501854784333638
Lasso,0.6938280500113074,0.6305352366939712,0.6924233041232796,0.6254217105096547,0.06329281331733627
