Feature,Coefficient
Human capital index,0.5932103602576956
Rule of law index,0.3016319516109736
HCI_x_TotalResources,-0.27385854777693414
Metals_GDP_Pct,-0.13047226136927145
Oil_GDP_Pct,0.09028529158554242
Natural Gas_GDP_Pct,0.07941697485661939
High_Resource,-0.07836189322285893
Coal_GDP_Pct,-0.02398939505382541
Property rights,-0.01912845789031052
Landlocked,0.012762752902017768
