,PC1,PC2
Metals_GDP_Norm,-0.3911987758987511,-0.3295644985724747
Oil_GDP_Norm,-0.07566525476141467,0.6377872664961873
Natural Gas_GDP_Norm,0.10374583647978593,0.5374718080249109
Coal_GDP_Norm,-0.0912951773926916,-0.3990970631495435
Economic Complexity Index,0.6665846293223057,-0.14739724459214903
Human capital index,0.614658613302051,-0.12138486737019533
