Country Name,Coal,Metals,Natural Gas,Oil,Total,Country Code,Total_Log
Albania,7.479554945738994e-06,0.0022189329200061033,0.0,0.0,0.0022264124749518423,ALB,0.0022239376912763227
Algeria,0.0,0.0007678205580229412,3.323409104806729,1.9934350987442977,5.317612024109049,DZA,1.8433412924710846
Angola,0.0,1.8242106511510538e-05,0.0,1.8616955742521615,1.861713816358673,AGO,1.051420681850316
Argentina,2.4745707233770365e-05,29.74825317655829,1.100377010610451,0.6713682190934694,31.520023151969443,ARG,3.481855996609536
Armenia,0.0,0.4214779425916714,0.0,0.0,0.4214779425916714,ARM,0.3516971349935725
Australia,15.570298420265866,827.1431991846226,7.238499510456635,0.3408429063426853,850.2928400216879,AUS,6.746756182214078
Austria,0.0,5.074367333801863,0.0,0.0,5.074367333801863,AUT,1.8040778412193412
Azerbaijan,0.0,0.058156880900063074,0.4800651575000501,0.7327103860000409,1.270932424400154,AZE,0.8201905068023067
Bahrain,0.0,3.2131252243530835,0.2688947144119677,0.0,3.4820199387650512,BHR,1.500073824000043
Bangladesh,0.000991037361544455,0.0,0.5211256363666527,0.0,0.5221166737281971,BGD,0.4201019146671082
Bolivia,0.0,37.81351200634891,0.24038743897313278,0.0,38.05389944532204,BOL,3.664942729054967
Bosnia and Herzegovina,0.06704236012956907,0.2155007593484302,0.0,0.0,0.28254311947799926,BIH,0.24884491892294064
Botswana,0.004202734242535479,0.0047814496545546805,0.0,0.0,0.008984183897090159,BWA,0.008944066220956481
Brazil,0.01935757890906363,115.7849263874163,0.5354766932115635,5.40239099633541,121.74215165587235,BRA,4.810085827000164
Brunei Darussalam,0.0,0.0,0.1916820422269515,0.04645818324567097,0.23814022547262248,BRN,0.21361043559658072
Bulgaria,0.2067871602073209,0.623421252385416,0.0,0.0,0.8302084125927369,BGR,0.6044298470314337
Burkina Faso,0.0,2.56240883652338,0.0,0.0,2.56240883652338,BFA,1.2704369555195225
Cameroon,0.0,0.038016758173493384,0.0,0.0,0.038016758173493384,CMR,0.03731192928918553
Canada,0.5312244677407439,84.46035321118838,9.055342041538662,13.688693526521346,107.73561324698913,CAN,4.6889193692357285
Chad,0.0,0.0,0.0,0.049702927351297804,0.049702927351297804,TCD,0.048507197806129214
Chile,0.002790462610848387,262.2172786620724,0.0,0.0,262.2200691246832,CHL,5.572990447017963
China,326.891304526139,3777.8257343413193,9.630972934110533,8.302493956823644,4122.650505758393,CHN,8.32449409512433
Colombia,1.1409014238332644,1.2443131621002417,0.183721380992264,0.9169144714759049,3.485850438401675,COL,1.5009280959081939
"Congo, Dem. Rep.",9.805465063367796e-07,570.7560746320223,0.0,0.0,570.7560756125688,COD,6.348712459191108
"Congo, Rep.",0.0,0.0073351062172033596,0.0,0.21438490500784255,0.2217200112250459,COG,0.20025971111287144
Costa Rica,0.0,0.04992315270969771,0.0,0.0,0.04992315270969771,CRI,0.0487169735955413
Cote d'Ivoire,0.0,0.9680169945301549,0.0,0.0,0.9680169945301549,CIV,0.6770264340247658
Croatia,0.0,0.00025251403168716224,0.0,0.0,0.00025251403168716224,HRV,0.00025248215538509227
Cyprus,0.0,0.0002331686202854069,0.0,0.0,0.0002331686202854069,CYP,0.0002331414407075317
Czechia,0.35740180740826955,0.0,0.0,0.0,0.35740180740826955,CZE,0.3055724368088604
Denmark,0.0,0.0,0.023491341758559804,0.03633150741272259,0.059822849171282395,DNK,0.058101770733981845
Dominican Republic,0.0,1.19014203629751,0.0,0.0,1.19014203629751,DOM,0.7839663984821548
Ecuador,0.0,0.08883906858169596,0.0,0.42554831466682724,0.5143873832485232,ECU,0.4150109896900274
"Egypt, Arab Rep.",0.0,0.5631508537235802,2.144956391680776,0.5808369764208462,3.288944221825202,EGY,1.4560406005131774
Equatorial Guinea,0.0,0.0004677655423379305,0.0,0.07056891028226486,0.0710366758246028,GNQ,0.06862703534669957
Eswatini,4.994406116655726e-05,2.430581056077919e-06,0.0,0.0,5.2374642222635176e-05,SWZ,5.2373270718949e-05
Ethiopia,1.9225553964544757e-07,0.02971003676438276,0.0,0.0,0.029710229019922405,ETH,0.02927743161192217
Finland,0.0,0.6277208491635298,0.0,0.0,0.6277208491635298,FIN,0.4871807843051617
France,0.0,0.5196990455459919,0.0,0.0,0.5196990455459919,FRA,0.4185123189029986
Gabon,0.0,67.29618594107666,0.0,0.1118106005865785,67.40799654166324,GAB,4.225489726299087
Georgia,2.7474443384101866e-06,0.06418314569004425,0.0,0.0,0.06418589313438267,GEO,0.06221008725162469
Germany,2.0617229500102154,3.371304593039389,0.050448257831556764,0.0,5.483475800881161,DEU,1.8692567555838822
Ghana,0.0,41.88203113248474,0.0,0.0,41.88203113248474,GHA,3.7584528834691953
Greece,0.19627957840472493,3.3177111460895454,0.0,0.0,3.5139907244942705,GRC,1.507181623562544
Guatemala,0.0,0.0009280967634365765,0.0,0.0,0.0009280967634365765,GTM,0.0009276663479263337
Guinea,0.0,81.38382329184884,0.0,0.0,81.38382329184884,GIN,4.411389098368596
Honduras,0.0,0.3037830237214668,0.0,0.0,0.3037830237214668,HND,0.265270056807999
Hungary,0.024551820934023867,0.0,0.0,0.0,0.024551820934023867,HUN,0.024255269100402592
India,28.367051699564723,74.30959270715593,0.5720378190756007,0.8634310084357232,104.11211323423198,IND,4.655027525611107
Indonesia,20.95911974107084,414.20673600446827,2.6929431706605325,0.7585816105812848,438.61738052678095,IDN,6.085904758887978
"Iran, Islamic Rep.",0.002735869152511203,6.570906930359413,14.140387798247048,7.207384062637619,27.92141466039659,IRN,3.3645823124287975
