feature,coefficient,abs_coef
feat_color3_brown,-0.12191973723339969,0.12191973723339969
energy,-0.12107827374907804,0.12107827374907804
ml,0.12094718282378299,0.12094718282378299
eyes,-0.1198513862927308,0.1198513862927308
rinse,-0.11915363507236187,0.11915363507236187
time,-0.11821183966547995,0.11821183966547995
cream,0.11633053133588737,0.11633053133588737
ingredients,-0.11509835124994282,0.11509835124994282
finish,-0.11492204740837468,0.11492204740837468
bc hair,-0.11480264752226596,0.11480264752226596
feat_color3_hot_pink,0.11435661064287651,0.11435661064287651
soap,-0.11405146460518728,0.11405146460518728
feat_color3_teal,-0.11398853051638898,0.11398853051638898
better,0.11349373210702264,0.11349373210702264
plastic,-0.11290993225284354,0.11290993225284354
frozen bc,0.11275970135287658,0.11275970135287658
bc frozen,0.11236303051515259,0.11236303051515259
frozen,0.11236303051515259,0.11236303051515259
cool dry,0.11232082962341113,0.11232082962341113
feat_color2_dark_green,-0.11112776795803266,0.11112776795803266
small,0.10957848152305875,0.10957848152305875
contact,-0.10905726061661622,0.10905726061661622
fsc,-0.10857410904535096,0.10857410904535096
make,0.10504793610518723,0.10504793610518723
little,0.10457254957831288,0.10457254957831288
compartment,-0.10348044718323118,0.10348044718323118
power,-0.10226970960144051,0.10226970960144051
effective,0.0993586065143316,0.0993586065143316
size,0.09786657927336996,0.09786657927336996
colours,0.09747946400561881,0.09747946400561881
card,-0.0970154264907925,0.0970154264907925
dermatologically tested,0.0966763163824154,0.0966763163824154
balanced,-0.09652243575413895,0.09652243575413895
like,0.09637329483569995,0.09637329483569995
help,0.09592982001110824,0.09592982001110824
bc sports,0.09435473102661356,0.09435473102661356
sports,0.09435473102661356,0.09435473102661356
sweet,-0.09428570745936136,0.09428570745936136
dry,0.09236079974273359,0.09236079974273359
eu,-0.09010031944637617,0.09010031944637617
note,-0.08951892312162876,0.08951892312162876
safety,-0.08943076260242079,0.08943076260242079
product,-0.0891302380319553,0.0891302380319553
suitable vegetarians,-0.08912158627535065,0.08912158627535065
anti,-0.08864292094694338,0.08864292094694338
feat_color3_sky_blue,0.0857761828151907,0.0857761828151907
helps,0.08360489033198179,0.08360489033198179
premium,-0.08251868798429551,0.08251868798429551
comfort,0.08216309103534064,0.08216309103534064
sourced,0.08205305154292356,0.08205305154292356
feat_color2_gold,-0.08094870631949494,0.08094870631949494
sugar,-0.08062787384214906,0.08062787384214906
fun,0.08041787339241115,0.08041787339241115
vitamin,0.08005891112984695,0.08005891112984695
remove,0.07960899122053651,0.07960899122053651
bottle,-0.07937848792416946,0.07937848792416946
dermatologically,0.07905101777042696,0.07905101777042696
milk,-0.07843618804412865,0.07843618804412865
care bc,0.0782446183209822,0.0782446183209822
life,0.07754234944775303,0.07754234944775303
british,-0.0769940194468578,0.0769940194468578
available,0.0767615002425399,0.0767615002425399
newsagent tobacconist,0.07675168745330888,0.07675168745330888
tobacconist,0.07675168745330888,0.07675168745330888
bc newsagent,0.07670013532415185,0.07670013532415185
newsagent,0.07670013532415185,0.07670013532415185
feat_color1_crimson,-0.07633726360450058,0.07633726360450058
hair care,-0.07577990558250311,0.07577990558250311
feat_color2_gray,0.07504541006585931,0.07504541006585931
prevent,0.073739488657652,0.073739488657652
frozen food,-0.0735435495062943,0.0735435495062943
comes,-0.07234283467193,0.07234283467193
uk,0.07183271738954167,0.07183271738954167
perfect,0.07160015131653066,0.07160015131653066
simple,0.07151021819352318,0.07151021819352318
cream,-0.07087132020719193,0.07087132020719193
extra,0.07081156586057194,0.07081156586057194
treat,0.0701446612569605,0.0701446612569605
food compartment,-0.07012139361734683,0.07012139361734683
feat_color3_coral,0.06970441353978596,0.06970441353978596
warning,-0.06960411877320505,0.06960411877320505
family,-0.06825920603577744,0.06825920603577744
ireland,0.06774546174057464,0.06774546174057464
formula,-0.06666334260778783,0.06666334260778783
feat_color3_silver,0.06635005324407914,0.06635005324407914
bc skin,-0.06619813484342738,0.06619813484342738
morrisons,-0.0661460648615031,0.0661460648615031
otherinformation safety,-0.06526607790928877,0.06526607790928877
br frozen,-0.06476595144319122,0.06476595144319122
wm,-0.06463278117699206,0.06463278117699206
baby,-0.06420926577079372,0.06420926577079372
way,-0.06397092121353655,0.06397092121353655
surfaces,-0.06382536482870513,0.06382536482870513
united,-0.06274932585094731,0.06274932585094731
skin,-0.062474933708203804,0.062474933708203804
quality,-0.062170683291768,0.062170683291768
home,0.06169855539625905,0.06169855539625905
supermarkets,-0.061499860145480235,0.061499860145480235
products,-0.06056963063745217,0.06056963063745217
feat_color2_dark_red,-0.06038634965986043,0.06038634965986043
tray,0.058796086711842534,0.058796086711842534
gently,-0.058666023430992975,0.058666023430992975
feat_color3_pink,0.05856582703105145,0.05856582703105145
chocolate,-0.058444743005696874,0.058444743005696874
makes,-0.05793129499961676,0.05793129499961676
safety warning,-0.0566328616494451,0.0566328616494451
cards,-0.05650060669677416,0.05650060669677416
heat,-0.056496838978384256,0.056496838978384256
baby,-0.056016553955462046,0.056016553955462046
feat_color2_salmon,0.0558670786826716,0.0558670786826716
bath,-0.055553566312061334,0.055553566312061334
recycled,-0.05500869793199461,0.05500869793199461
support,-0.05437633064020726,0.05437633064020726
lasting,0.05368097468403015,0.05368097468403015
warning br,-0.05366684559759394,0.05366684559759394
set,0.053230072641263,0.053230072641263
supermarkets limited,-0.05214042643818499,0.05214042643818499
toys,-0.05126191384165643,0.05126191384165643
vegans,0.05114247791554942,0.05114247791554942
drink,-0.0510519043013464,0.0510519043013464
use,-0.05047728189596168,0.05047728189596168
brand,0.050280232644632356,0.050280232644632356
bc dental,0.05023750784753186,0.05023750784753186
dental,0.050187523840135126,0.050187523840135126
supplements,-0.050078838404964715,0.050078838404964715
br br,-0.04924447504953273,0.04924447504953273
feat_price_log,-0.04911154709518193,0.04911154709518193
times,-0.04899517785027338,0.04899517785027338
ve,-0.048654723025385295,0.048654723025385295
making,-0.04821440958451702,0.04821440958451702
sunlight,-0.04761316764901526,0.04761316764901526
health,-0.04751648864164129,0.04751648864164129
supplied,-0.04720890671081799,0.04720890671081799
including,-0.04687773828687033,0.04687773828687033
feat_color1_violet,0.046746120946126644,0.046746120946126644
dry place,0.046683630380766554,0.046683630380766554
website,-0.04650090038573846,0.04650090038573846
kingdom brand,-0.046302042391223375,0.046302042391223375
blend,0.04597673937796529,0.04597673937796529
vegetarians,-0.045584313020299645,0.045584313020299645
kids,-0.0455574671886245,0.0455574671886245
feat_color2_olive,-0.04524647201084601,0.04524647201084601
br best,0.04497686649134191,0.04497686649134191
countryoforigin,-0.044077552766602995,0.044077552766602995
vanilla,-0.044060163440273185,0.044060163440273185
cook,0.043962199325412905,0.043962199325412905
feat_color3_royal_blue,0.04377358744694053,0.04377358744694053
data,-0.04341958415650599,0.04341958415650599
delicious,0.043210325435288036,0.043210325435288036
sensitive,-0.04308632952663722,0.04308632952663722
cocoa,0.04286401440024644,0.04286401440024644
allow,0.04283866019891592,0.04283866019891592
age,-0.0427447934016006,0.0427447934016006
medical,0.0427434794218873,0.0427434794218873
conditioner,0.0425734350674973,0.0425734350674973
freezer,-0.0425192467256489,0.0425192467256489
shampoo,0.04234697083666819,0.04234697083666819
green,-0.04207334832938994,0.04207334832938994
summary,-0.042007009790860396,0.042007009790860396
natural,-0.041831119798743606,0.041831119798743606
pet,0.04147613450135133,0.04147613450135133
vitamins,0.041448350165318254,0.041448350165318254
approved,0.041444279539386446,0.041444279539386446
added,0.04139427805187379,0.04139427805187379
normal,-0.041143461371459175,0.041143461371459175
create,-0.040925859386819335,0.040925859386819335
recommended,0.04052246999204111,0.04052246999204111
feat_color2_lime,0.04048596361499234,0.04048596361499234
new,0.040068872484165546,0.040068872484165546
bc face,0.03996466348468779,0.03996466348468779
glass,-0.03993868080644571,0.03993868080644571
change,0.03941436479643328,0.03941436479643328
packagetype,-0.03933456887191604,0.03933456887191604
cool,0.03893255229340584,0.03893255229340584
feat_color3_crimson,0.03848467600694374,0.03848467600694374
information,-0.03840678237203425,0.03840678237203425
control,0.0381332890622761,0.0381332890622761
red,-0.03800680546764953,0.03800680546764953
bc groceries,-0.03793127444286218,0.03793127444286218
certified,0.037682721403733854,0.037682721403733854
wm morrisons,-0.037631367056427834,0.037631367056427834
morrisons supermarkets,-0.037631367056427834,0.037631367056427834
enriched,0.037550318620165404,0.037550318620165404
skin care,-0.036871543512947955,0.036871543512947955
contains,-0.036731456140379044,0.036731456140379044
party website,-0.03656595701287745,0.03656595701287745
feat_color1_khaki,0.03648970502336734,0.03648970502336734
healthy,0.03582140862754662,0.03582140862754662
light,-0.035177124743044685,0.035177124743044685
looking,-0.034988894035096724,0.034988894035096724
bc bath,-0.034722216682206986,0.034722216682206986
bc vitamins,0.034718466315369845,0.034718466315369845
fragrance,0.03454936626906449,0.03454936626906449
countryoforigin united,-0.033999639008730084,0.033999639008730084
date br,-0.033888507211124755,0.033888507211124755
suitable,0.033832674128713484,0.033832674128713484
toddler bc,-0.0336776599356768,0.0336776599356768
place,0.033399423724738336,0.033399423724738336
number,0.03334939193026134,0.03334939193026134
small,0.03271905470992508,0.03271905470992508
bc small,0.03271905470992508,0.03271905470992508
easy,0.032547601267943455,0.032547601267943455
bc shampoo,-0.03247409203507146,0.03247409203507146
feat_color3_dark_green,-0.03218034724197816,0.03218034724197816
artificial,0.03204883028301172,0.03204883028301172
feat_color1_red,-0.03155335318061811,0.03155335318061811
pet food,0.03103039058396589,0.03103039058396589
believe,-0.030926492998488,0.030926492998488
cm,-0.030478428554299164,0.030478428554299164
read,0.030083459008010648,0.030083459008010648
feat_color2_orange,0.02966655187534069,0.02966655187534069
oil,0.029603405264427996,0.029603405264427996
brush,0.02951408600139512,0.02951408600139512
feat_color2_navy,-0.0292596366763731,0.0292596366763731
day,0.029250381927969703,0.029250381927969703
party,-0.029184654264959912,0.029184654264959912
care,0.02884079081489595,0.02884079081489595
features,-0.02830305544915464,0.02830305544915464
protect,0.028153339308410057,0.028153339308410057
conditioner,0.02775811043725166,0.02775811043725166
cards party,-0.027673751963944733,0.027673751963944733
party essentials,-0.027673751963944733,0.027673751963944733
supplements bc,0.02764521895189754,0.02764521895189754
odour,0.027608494188907613,0.027608494188907613
oven,0.027493047500910285,0.027493047500910285
feeding,0.02742412540886889,0.02742412540886889
instructions,-0.02715363266112269,0.02715363266112269
br safety,-0.027137828642590928,0.027137828642590928
additional information,0.02705626171883748,0.02705626171883748
irritation,0.027033367943170503,0.027033367943170503
limited,-0.026843487851979923,0.026843487851979923
party,-0.026579600470186957,0.026579600470186957
essentials groceries,0.02653997498770004,0.02653997498770004
meat fish,-0.02645522605521758,0.02645522605521758
styling bc,0.02631314328067689,0.02631314328067689
thoroughly,-0.02606005209388771,0.02606005209388771
using,-0.02563417879192192,0.02563417879192192
bc meat,-0.025531084718403194,0.025531084718403194
meat,-0.025531084718403194,0.025531084718403194
store,-0.025455620680361248,0.025455620680361248
sensitive skin,-0.025226200752027705,0.025226200752027705
approx,-0.024878128701890247,0.024878128701890247
source,-0.024613358235248843,0.024613358235248843
prior,-0.02458233283160055,0.02458233283160055
end date,-0.024447257647485256,0.024447257647485256
toddler,-0.024377183852122793,0.024377183852122793
warnings,-0.024231959117759636,0.024231959117759636
include,-0.024072610839375643,0.024072610839375643
styling,-0.023341590271033295,0.023341590271033295
baby toddler,-0.022789423034795486,0.022789423034795486
leave,0.0227208051574803,0.0227208051574803
high,0.02238797016140021,0.02238797016140021
minutes,0.02202601164222056,0.02202601164222056
feat_color3_black,-0.0219536276999254,0.0219536276999254
feat_color1_coral,-0.021741284968540848,0.021741284968540848
greeting,-0.021665244707861922,0.021665244707861922
greeting cards,-0.021665244707861922,0.021665244707861922
bc greeting,-0.021665244707861922,0.021665244707861922
bc birthday,-0.021625091155590463,0.021625091155590463
visit,0.021428030345610964,0.021428030345610964
relief,0.02137166624524176,0.02137166624524176
groceries bc,-0.0213531871579182,0.0213531871579182
groceries,-0.0213531871579182,0.0213531871579182
household essentials,0.021277825643265864,0.021277825643265864
accessories,0.02119188360248549,0.02119188360248549
based,0.02117652860058398,0.02117652860058398
images,-0.021148664402748485,0.021148664402748485
doctor,0.021128812332224,0.021128812332224
range,0.021026893638850817,0.021026893638850817
accessories bc,0.02090325865225865,0.02090325865225865
diet,-0.020830549727765563,0.020830549727765563
accurate,-0.020751756247196204,0.020751756247196204
experience,0.02064557205614656,0.02064557205614656
fruit,-0.01986416923732065,0.01986416923732065
bc fruit,-0.01986416923732065,0.01986416923732065
br uk,-0.01970869359715995,0.01970869359715995
store cool,0.01960847032179667,0.01960847032179667
packaging,-0.019475637046090514,0.019475637046090514
london,-0.01945936130846476,0.01945936130846476
body,0.019440029851851108,0.019440029851851108
pain,0.019425352608787992,0.019425352608787992
allergy,-0.019383946701388807,0.019383946701388807
ready,0.019078464077488696,0.019078464077488696
vegetables,-0.01880987517375356,0.01880987517375356
bc christmas,-0.018605504445096233,0.018605504445096233
christmas,-0.018605504445096233,0.018605504445096233
hands,-0.018494239272776342,0.018494239272776342
feat_color3_salmon,0.018471375355197987,0.018471375355197987
conditioner bc,-0.018471265996487483,0.018471265996487483
bc kids,-0.018458628576101817,0.018458628576101817
strong,0.018251012081873165,0.018251012081873165
br store,-0.018150498850180666,0.018150498850180666
united kingdom,-0.018040707377015568,0.018040707377015568
kingdom,-0.017979476827164872,0.017979476827164872
children br,0.01751745464198093,0.01751745464198093
vegan,0.01746972614435026,0.01746972614435026
feat_color2_purple,0.01704688456208805,0.01704688456208805
feat_color2_cyan,0.016921816491647295,0.016921816491647295
birthday cards,-0.01665062513263881,0.01665062513263881
long,-0.016463522525675116,0.016463522525675116
friendly,-0.016356341347252314,0.016356341347252314
long lasting,-0.016321732568449168,0.016321732568449168
birthday,-0.016220011480142012,0.016220011480142012
feat_color1_lime,0.01620270765901706,0.01620270765901706
relief,0.0158018848636791,0.0158018848636791
feat_color2_silver,-0.01555532889085766,0.01555532889085766
feat_color2_white,-0.015393345424334093,0.015393345424334093
ice cream,-0.01538460321157463,0.01538460321157463
refreeze,0.015358769178240266,0.015358769178240266
preparing,-0.015243370325302251,0.015243370325302251
ideal,-0.015191400692753224,0.015191400692753224
dublin br,-0.01495817770798327,0.01495817770798327
enhance,-0.014947003790366996,0.014947003790366996
use br,-0.01491870986038821,0.01491870986038821
purposes,-0.01490494639665995,0.01490494639665995
reading,-0.014165385119113718,0.014165385119113718
allergens,-0.014153428241073235,0.014153428241073235
apply,0.01408847795164375,0.01408847795164375
feat_color2_green,0.01381464235170943,0.01381464235170943
food,-0.013633717225371789,0.013633717225371789
white,-0.013588949824941963,0.013588949824941963
prepare,-0.013500599616845814,0.013500599616845814
best end,-0.013307583845007907,0.013307583845007907
br www,-0.013296366210366147,0.013296366210366147
br disclaimer,-0.01297616444579264,0.01297616444579264
brandmarketing,-0.012894644623187054,0.012894644623187054
label,-0.012818644956495729,0.012818644956495729
cleaning,-0.01279591150942908,0.01279591150942908
product packaging,-0.012746412945411323,0.012746412945411323
box,-0.012672884151181554,0.012672884151181554
unique,0.012629307569863744,0.012629307569863744
