Model,Accuracy,Precision,Recall,F1,AUC
SVM,0.8717948717948718,0.8597560975609756,0.8924050632911392,0.8757763975155279,0.9571757356567483
Gradient Boosting,0.9102564102564102,0.9012345679012346,0.9240506329113924,0.9125,0.9402433010027946
L2 (Ridge),0.8846153846153846,0.88125,0.8924050632911392,0.8867924528301887,0.9366677626171297
Random Forest,0.842948717948718,0.8011049723756906,0.9177215189873418,0.855457227138643,0.9299071181982574
ElasticNet,0.8653846153846154,0.8186813186813187,0.9430379746835443,0.8764705882352941,0.9122554660529344
L1 (LASSO),0.8493589743589743,0.8032786885245902,0.930379746835443,0.8621700879765396,0.9066250205490712
