feature,coef_female,coef_male,coef_none,max_abs
bc_toiletries bc,-0.1368139893634639,1.4709290155440764,-1.1190918440693038,1.4709290155440764
feat_color1_lavender,1.4536388535441669,-0.22037752165672464,-1.1167554008673908,1.4536388535441669
bc_bc toiletries,-0.01911703998764944,1.2770486025617582,-1.0239659989855991,1.2770486025617582
bc_toiletries,-0.03384108851069046,1.2280960106458543,-0.9449101174910127,1.2280960106458543
desc_lynx,-0.6567263727823621,1.091354008243239,-0.3137290187282316,1.091354008243239
bc_deodorants,0.25685718124691104,0.5029071419411661,-0.8799714091363705,0.8799714091363705
bc_bc deodorants,0.2646712216758656,0.4927524604542139,-0.8778479936475696,0.8778479936475696
feat_color1_black,-0.28520465121729877,0.8640044360942536,-0.4579011679721571,0.8640044360942536
bc_period,0.8097606010943842,-0.46675124961519865,-0.2221107346500409,0.8097606010943842
bc_shaving hair,0.7833709611360298,-0.37533462711912385,-0.2872234836971815,0.7833709611360298
bc_intimate,0.7688514716673636,-0.31321541539906955,-0.33473743934731054,0.7688514716673636
bc_bc period,0.753562401860108,-0.43612394779197217,-0.196539837239717,0.753562401860108
bc_gel,-0.4355267642584267,0.749739777465236,-0.19331439637519138,0.749739777465236
bc_toothpaste,-0.3180600552918423,-0.2939802151249746,0.7315700839718893,0.7315700839718893
bc_hair removal,0.7260697207441142,-0.2953802916595677,-0.3132894590922023,0.7260697207441142
bc_removal,0.7260697207441142,-0.2953802916595677,-0.3132894590922023,0.7260697207441142
bc_accessories,-0.37110866425204,-0.17764905503116482,0.6696563361024169,0.6696563361024169
bc_conditioner,-0.2332610559052986,-0.3074793317829664,0.6616390045268147,0.6616390045268147
bc_removal bc,0.6492341314405238,-0.30110425907230826,-0.22803631591397794,0.6492341314405238
feat_color1_silver,0.6441755764050991,-0.08534337401322863,-0.4900443214422498,0.6441755764050991
desc_venus,0.6435376003287272,-0.44673930135764234,-0.08713223499464921,0.6435376003287272
bc_razors,-0.0669726330932046,0.6383323955879128,-0.4665540304018896,0.6383323955879128
bc_bc razors,-0.0669726330932046,0.6383323955879128,-0.4665540304018896,0.6383323955879128
feat_color1_navy,-0.21749711439787603,0.6015289462648014,-0.28605949119510443,0.6015289462648014
desc_gillette,-0.318764030963151,0.5987885461198057,-0.15912589836565036,0.5987885461198057
