Model,Accuracy,F1_weighted
Hist Gradient Boosting,0.8356807511737089,0.8359421745608568
L2 (Ridge),0.8043818466353677,0.8043741021827827
SVM,0.784037558685446,0.7829577854752039
Random Forest,0.7543035993740219,0.7526832599774199
L1 (LASSO),0.7057902973395931,0.7033206086847671
