Model,Train R²,Test R²,CV R²,Test RMSE,Overfit
XGBoost,0.9643049430995807,0.8039265103402706,0.9256236230652062,0.45561276117655203,0.16037843275931007
LightGBM,0.9616552210746452,0.7985232469781618,0.9242669968820886,0.46184783494698817,0.1631319740964834
Gradient Boosting,0.9643554830713168,0.7964703664041757,0.9223139318832306,0.4641947944000715,0.16788511666714112
Random Forest,0.9548810493790217,0.7775745296150243,0.916541383351954,0.4852646989808132,0.17730651976399747
Ridge,0.7194917442512974,0.62593299085888,0.715837376773444,0.6293049445872807,0.09355875339241737
ElasticNet,0.7038305386707138,0.6256373732855923,0.7024407318614811,0.6295535589476786,0.07819316538512144
Lasso,0.6863824456716345,0.6138797971594157,0.6853303226981131,0.6393632993124149,0.07250264851221888
