Model,Train R²,Test R²,CV R²,Test RMSE,Overfit
Random Forest,0.9705642958593992,0.8906071042602941,0.9410671726700771,0.3403149279011035,0.07995719159910508
XGBoost,0.9793410041959997,0.8861538079932957,0.9425597541736493,0.3471728021626074,0.09318719620270399
LightGBM,0.9771475102318764,0.8858033288928423,0.9424041102253762,0.3477067827317127,0.0913441813390341
Gradient Boosting,0.9802466098100503,0.8817186927212791,0.9414160761473152,0.35387061301071204,0.09852791708877118
Ridge,0.794365889232492,0.7370388902285145,0.7905584105163609,0.5276333066826038,0.05732699900397742
ElasticNet,0.7686099693546452,0.7341021557124934,0.7662718861166385,0.5305714154785712,0.03450781364215183
Lasso,0.7431437883494014,0.7150557205564962,0.7409484746695691,0.5492453789800461,0.02808806779290518
