original_index,product_id,label_extracted,color1_name,color1_weight,color2_name,color2_weight,color3_name,color3_weight
11255,110985461,female,lavender,0.38360323886639675,hot_pink,0.28441295546558704,pink,0.19989878542510123
7712,111632406,female,crimson,0.47198731501057084,crimson,0.18727977448907682,hot_pink,0.16155743481324877
8034,110387120,none,lavender,0.5757874015748031,crimson,0.1235236220472441,royal_blue,0.10728346456692914
6114,325091763,female,silver,0.28563927540036754,gray,0.19768968233132056,tan,0.19611446573903912
1643,325085427,female,lavender,0.786931248747244,silver,0.08959711365003006,tan,0.05532170775706555
10357,107215781,male,black,0.34337152209492633,navy,0.2700490998363339,silver,0.18625204582651392
1266,260567036,none,navy,0.3020275439938791,navy,0.252486610558531,crimson,0.20313695485845448
10476,110983116,female,lavender,0.38235294117647056,pink,0.3104859335038363,pink,0.11074168797953964
11345,111842657,male,black,0.36147796408962757,silver,0.26784389375278234,brown,0.21679774447247366
11129,113993133,female,silver,0.4599517226245337,silver,0.24950625411454905,silver,0.21220100943603248
9844,112725495,none,tan,0.29875,tan,0.227,khaki,0.2115
7204,105111639,none,gray,0.6887467068121942,silver,0.17877305231464058,royal_blue,0.07489649981181784
6907,291302342,female,lavender,0.493744787322769,silver,0.27585487906588824,silver,0.14804003336113428
11236,113982397,male,crimson,0.24539692121943857,silver,0.22789012979172954,brown,0.19498943555689707
10181,112010369,none,dark_green,0.5701336958984817,coral,0.17244504871969182,gray,0.14140040788579197
1200,314952078,female,lavender,0.3082908163265306,black,0.2016581632653061,sky_blue,0.19987244897959183
779,308104798,male,lavender,0.43264433357091947,tan,0.20384889522451888,black,0.1774768353528154
5061,325091847,female,silver,0.3180623973727422,lavender,0.30410509031198685,crimson,0.20476190476190476
4875,259178657,female,lavender,0.28546036260220403,lime,0.21702808389619624,teal,0.19676501955207962
11957,111851289,none,tan,0.34801762114537443,teal,0.2720264317180617,silver,0.1406020558002937
5202,315460998,female,silver,0.34102564102564104,lavender,0.2833333333333333,pink,0.2602564102564103
8085,100709818,male,black,0.3746417130332153,brown,0.2473444613050076,silver,0.2471758556735795
7763,107154667,female,pink,0.40738974970202624,royal_blue,0.232657926102503,tan,0.16448152562574495
8860,105264395,female,orange,0.28751660026560427,lavender,0.2589641434262948,khaki,0.199867197875166
9085,108058757,male,black,0.7319880630950689,teal,0.13542702856330824,silver,0.03495807872673014
7583,108593101,male,navy,0.3151376894248004,violet,0.24490793547335832,lavender,0.16604204008473195
12066,110944281,female,silver,0.29789473684210527,teal,0.2755263157894737,gray,0.19447368421052633
11599,114180724,female,black,0.47122692725298587,gray,0.21362649294245387,silver,0.13409337676438654
7240,108713184,female,lavender,0.29502487562189056,royal_blue,0.19419568822553898,gray,0.13598673300165837
1086,325090175,male,gray,0.33209541494072276,brown,0.31795457791744036,gray,0.13755177831738324
10284,113996238,female,silver,0.44184445973847214,silver,0.38059187887130075,silver,0.0698554714384033
8536,113643555,female,lavender,0.7658536585365854,silver,0.1024390243902439,gray,0.08075880758807588
7610,112923011,female,lavender,0.5025161754133717,hot_pink,0.26419841840402586,silver,0.12940330697340044
10434,106261356,female,lavender,0.30863309352517987,silver,0.2729016786570743,crimson,0.0908872901678657
6763,315463338,female,lavender,0.3364713027634376,gray,0.2247191011235955,gray,0.19252960825994533
7009,112309651,none,silver,0.558986087287974,silver,0.19344387268915572,gray,0.111873451496093
3026,316176423,male,dark_green,0.2801407099456348,black,0.2535976974736169,gray,0.25007994883274703
