Model,Accuracy,F1_weighted
Hist Gradient Boosting,0.7934272300469484,0.7929132202139401
L2 (Ridge),0.729264475743349,0.7295052742329329
SVM,0.730829420970266,0.7292846521922719
Random Forest,0.7230046948356808,0.7216121928737242
L1 (LASSO),0.6494522691705791,0.6462126372675415
