feature,coef_female,coef_male,coef_none,max_abs
desc_ingredients,-0.07382921060567672,0.04944100977346249,0.011090939595962478,0.07382921060567672
feat_color1_tan,0.07378810909473661,-0.050815330534321745,-0.01184632588459859,0.07378810909473661
desc_united,0.050838165019717683,0.011538291049982845,-0.07330945449329485,0.07330945449329485
desc_control,-0.07283019033174049,0.028163311963918143,0.03135418575727676,0.07283019033174049
desc_contains,-0.03333901894387145,-0.02862209761841398,0.07200893890451565,0.07200893890451565
feat_color2_brown,-0.07197558121625576,0.05702387063660447,0.006860702458797657,0.07197558121625576
bc_minerals,0.0685771071698126,-0.044713664145704234,-0.011520215494079184,0.0685771071698126
desc_label,-0.042044847146981146,-0.011323717019980202,0.06647829755474033,0.06647829755474033
bc_face,-0.006714076046116265,0.06629922612787863,-0.05585148873072295,0.06629922612787863
desc_need,-0.04255019481960051,-0.01606716305302981,0.06612141490607695,0.06612141490607695
desc_data,-0.049233841431443486,0.0661089173712821,-0.009210970205429967,0.0661089173712821
feat_color2_black,-0.00020944300316385527,0.06537716354020234,-0.05970080947513043,0.06537716354020234
desc_store,0.013059409815603884,-0.06498837205625586,0.04118649486377099,0.06498837205625586
desc_kingdom,0.06491166387480474,-0.002172405678018498,-0.06446979298951601,0.06491166387480474
desc_box,0.005073158744115791,-0.06382293911280351,0.05597496440433213,0.06382293911280351
feat_color1_lime,-0.038659149604280685,-0.009105587945798929,0.06069139140929311,0.06069139140929311
desc_packagetype,-0.04469659547396005,-0.00689255540234949,0.05971903441530488,0.05971903441530488
bc_haircare,0.0046708180410092726,-0.05924501816842513,0.05946458151508094,0.05946458151508094
feat_color1_royal_blue,-0.03191998388731713,-0.012978215456920468,0.05691422935470799,0.05691422935470799
feat_color1_gold,-0.05433046283108469,0.03180629428379832,0.009943082567645803,0.05433046283108469
desc_party,-0.05363604736608892,0.041666731597658456,0.001306079265434901,0.05363604736608892
feat_color2_tan,0.013389098177698568,-0.05306021846754239,0.029803214269930746,0.05306021846754239
feat_color2_teal,0.00253727979955906,0.04649514521961428,-0.05276881868625045,0.05276881868625045
desc_supplied,-0.05271792868880121,0.022998058172879775,0.018584081974145766,0.05271792868880121
desc_cooking,-0.025089069897583763,-0.011960305113455454,0.05121488936498698,0.05121488936498698
feat_price_log,-0.028396958099236026,0.05001970594609269,0.019714972802866375,0.05001970594609269
desc_avoid,0.03430889742336168,0.0033084871638946064,-0.04969192460006493,0.04969192460006493
feat_color3_silver,0.048572814146557744,-0.015653172827614355,-0.022529165958920454,0.048572814146557744
feat_color3_brown,-0.0483257400699953,0.004073644524568857,0.037268476036035024,0.0483257400699953
desc_information,-0.047015039312312976,0.0005466190647004658,0.039959042318079396,0.047015039312312976
desc_note,-0.04663238572458568,0.013557744343301906,0.02689970695538315,0.04663238572458568
desc_wm,-0.046532896538225545,0.0022712320380884384,0.03502910340967336,0.046532896538225545
desc_tested,0.04629937358391529,-0.03375412960455306,-0.0006898282476751894,0.04629937358391529
bc_ons,0.0454268751102604,-0.001086550953757278,-0.04225778892604324,0.0454268751102604
desc_supermarkets,-0.045352688796107474,0.0,0.03793479467715573,0.045352688796107474
desc_morrisons,-0.04456695752022603,0.0,0.04082096656598747,0.04456695752022603
desc_website,-0.04453540595402483,0.03048151693875189,0.0033119788898961456,0.04453540595402483
feat_color3_gray,-0.013844084320060096,0.04396218864196413,-0.016999689827181596,0.04396218864196413
desc_products,-0.03738478860231517,-0.004347198057997535,0.043467114240346,0.043467114240346
bc_cream,0.021768829264824763,-0.042786807898488204,0.019912301743293982,0.042786807898488204
feat_color3_teal,-0.008961964575977456,0.042173509201352107,-0.020973058267573976,0.042173509201352107
desc_experience,-0.015264693519596403,-0.015620763441462704,0.041791644814885884,0.041791644814885884
desc_content,-0.03358788031640876,-0.0030778761428891343,0.04046015897491747,0.04046015897491747
desc_countryoforigin,-0.04021199928687407,-0.0029565687035611617,0.040320851802204266,0.040320851802204266
desc_instructions,-0.04012718135060227,0.009257175446932307,0.020849630945977853,0.04012718135060227
