feature,coef_female,coef_male,coef_none,max_abs_coef
store_1,-0.0029410172327598593,0.4093947557499666,-0.4048600746141245,0.4093947557499666
bc_toiletries bc,-0.059053771479541786,0.3257759553695754,-0.2505317643636509,0.3257759553695754
desc_br,0.08409064391441058,-0.3064880049597972,0.20519115125558843,0.3064880049597972
bc_bc deodorants,-0.06131469097422003,0.2634375645892026,-0.1850984960003813,0.2634375645892026
bc_deodorants,-0.06131469097422003,0.2634375645892026,-0.1850984960003813,0.2634375645892026
bc_care,-0.13270672761516938,-0.10144230441229528,0.25087473598689086,0.25087473598689086
bc_marketplace bc,-0.17887474495389624,-0.05188388891873667,0.25030683524822367,0.25030683524822367
bc_marketplace,-0.17887474495389624,-0.05188388891873667,0.25030683524822367,0.25030683524822367
bc_bc marketplace,-0.17887474495389624,-0.05188388891873667,0.25030683524822367,0.25030683524822367
bc_blades,-0.07169419328592445,0.24758989797152772,-0.15344894399295175,0.24758989797152772
bc_bc razors,-0.06332594484278471,0.23604194775004905,-0.15093697080320498,0.23604194775004905
bc_razors,-0.06332594484278471,0.23604194775004905,-0.15093697080320498,0.23604194775004905
desc_blades,-0.0953854252922678,0.2156320324270816,-0.09670310811277183,0.2156320324270816
desc_skin,0.08113126003877764,0.10807264437914531,-0.20047334650564086,0.20047334650564086
bc_body,0.056738788325962325,0.1232692413456062,-0.19828983722716367,0.19828983722716367
desc_shave,-0.09269062478372063,0.18040304832148957,-0.06407501961599586,0.18040304832148957
bc_wash,-0.10965101263085945,-0.04867204015166582,0.17409403325607223,0.17409403325607223
bc_health beauty,0.16880304492724182,-0.0534561133614852,-0.09515483228657605,0.16880304492724182
bc_razors blades,-0.03089218475460762,0.16317613303225045,-0.11765764687399356,0.16317613303225045
bc_hair,0.08574133602890206,0.0644612252032606,-0.16160976194072918,0.16160976194072918
store_0,-0.00450505773681587,-0.15461196295603308,0.1586320761331169,0.1586320761331169
bc_bc toiletries,-0.023955578433218744,0.15443104718490253,-0.12321858388096085,0.15443104718490253
bc_toiletries,-0.023955578433218744,0.15443104718490253,-0.12321858388096085,0.15443104718490253
desc_protection,0.15004464012515922,-0.009529541931852717,-0.14202198606174632,0.15004464012515922
bc_sprays,0.0732474136184595,0.06283850408822635,-0.14976154814889936,0.14976154814889936
feat_color1_gray,-0.04057580360537506,0.1439361061810202,-0.08916826638716198,0.1439361061810202
desc_vitamin,0.12455509663425779,-0.04765630124061722,-0.05912800036166879,0.12455509663425779
desc_cm,-0.050918987480407435,-0.05302981010252604,0.12280420619662213,0.12280420619662213
bc_bc shaving,0.030363379615790064,0.07935650746221252,-0.12141990080374268,0.12141990080374268
bc_shaving,0.030363379615790064,0.07935650746221252,-0.12141990080374268,0.12141990080374268
desc_fragrance,-0.061191761031760786,0.11822831951326096,-0.041784997040336266,0.11822831951326096
bc_body sprays,0.05643172049348176,0.04909280445883114,-0.1178856434655727,0.1178856434655727
desc_good,-0.033018793981146884,0.1157806122957717,-0.07066234223393865,0.1157806122957717
desc_spray,-0.019996674471685676,0.11386897123173298,-0.08747280724467112,0.11386897123173298
feat_color3_crimson,-0.05220839054707616,-0.044282058855451334,0.1100998271809857,0.1100998271809857
desc_extra,0.10811277191215916,-0.04208412877164007,-0.05548572804871694,0.10811277191215916
store_2,-0.070991143443115,-0.036318505676413676,0.10153634301772867,0.10153634301772867
feat_color1_black,-0.03458793408464451,0.10005367660594378,-0.0575848065660408,0.10005367660594378
desc_absorbent,0.09717042313735916,-0.055998634182799004,-0.03125429927950787,0.09717042313735916
desc_sensitive,-0.04921659444251215,0.09614506756248734,-0.034702385556417914,0.09614506756248734
feat_price_log,0.09272359598412426,-0.0291518962775598,-0.059826295329789995,0.09272359598412426
bc_beauty,0.09186405853673535,-0.05808032875256761,-0.022770514969836998,0.09186405853673535
bc_beauty bc,0.09186405853673535,-0.05808032875256761,-0.022770514969836998,0.09186405853673535
desc_normal,0.09012426001758056,-0.04926572539749835,-0.03240272455736267,0.09012426001758056
desc_comfortable,-0.056175956555100326,0.087731725498267,-0.01832291929012039,0.087731725498267
bc_hair removal,0.08251650106547866,-0.00026468794031378327,-0.08689445156790594,0.08689445156790594
bc_removal,0.08251650106547866,-0.00026468794031378327,-0.08689445156790594,0.08689445156790594
desc_razor,-0.037046859782184485,0.0857377481799154,-0.03803377905107476,0.0857377481799154
desc_sweat,-0.03599899789626597,0.08480662804944733,-0.0396705477521994,0.08480662804944733
feat_color1_teal,0.03126584722263973,-0.08450345131394671,0.050674990014145556,0.08450345131394671
desc_ve,-0.033059021229573236,0.08298070952777659,-0.03980383758270886,0.08298070952777659
desc_clinically,-0.040159314262570876,-0.034037386159749404,0.08086437298384988,0.08086437298384988
desc_material,-0.03770333626702959,-0.03362442999051557,0.08082054450168995,0.08082054450168995
desc_design,-0.043876484745190535,-0.02665746725935212,0.08059839416025473,0.08059839416025473
desc_irritation,-0.04537115784939718,0.07956675182653158,-0.026655021816573577,0.07956675182653158
desc_aerosol,-0.02606965242916725,0.07869801228669374,-0.04551856596973675,0.07869801228669374
feat_color1_tan,-0.07760284021625016,0.06714739939072392,0.011094910375750118,0.07760284021625016
desc_fresh,-0.00830876222105719,0.07520959499712776,-0.06435690919394463,0.07520959499712776
