Model,Accuracy,F1_weighted
Hist Gradient Boosting,0.5909090909090909,0.5883838383838383
L1 (LASSO),0.5454545454545454,0.5432506887052342
Random Forest,0.5454545454545454,0.5363636363636363
L2 (Ridge),0.5,0.4936240230357878
SVM,0.45454545454545453,0.4402220586431112
